Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_602,,11,87.75,,11,96.31,,10,115.95,,10,140.24
QF_BV/sage/app1/bench_61,,10,153.03,,8,80.05,,8,102.26,,8,109.94
QF_BV/sage/app1/bench_611,,11,88.75,,11,116.36,,10,127.4,,11,124.37
QF_BV/sage/app1/bench_62,,11,104.73,,9,101.23,,9,117.02,,9,123.39
QF_BV/sage/app1/bench_620,,11,89.67,,11,113.06,,10,119.42,,11,133.02
QF_BV/sage/app1/bench_629,,12,93.43,,10,90.23,,11,123.24,,10,123.36
QF_BV/sage/app1/bench_63,,10,89.54,,9,102.93,,10,132.41,,8,115.37
QF_BV/sage/app1/bench_638,,11,110.78,,11,105.24,,11,111.95,,11,118.02
QF_BV/sage/app1/bench_646,,11,85.14,,11,88.57,,10,104.58,,11,135.94
QF_BV/sage/app1/bench_655,,12,111.43,,11,82.87,,10,106.88,,11,146.67
QF_BV/sage/app1/bench_66,,9,93.45,,10,111.37,,9,114.5,,9,126.52
QF_BV/sage/app1/bench_664,,12,109.37,,11,85.9,,11,111.35,,10,117.24
QF_BV/sage/app1/bench_674,,11,83.6,,11,87.07,,10,108.02,,11,126.77
QF_BV/sage/app1/bench_681,,8,209.52,,7,220.49,,7,298.06,,7,323.92
QF_BV/sage/app1/bench_683,,12,89.79,,10,74.5,,11,110.39,,11,117.98
QF_BV/sage/app1/bench_69,,10,106.95,,9,88.34,,10,117.45,,9,133.38
QF_BV/sage/app1/bench_691,,11,77.35,,12,101.57,,12,115.95,,11,114.25
QF_BV/sage/app1/bench_692,,7,297.08,,7,193.82,,7,283.23,,7,332.53
QF_BV/sage/app1/bench_699,,12,99.02,,11,81.04,,11,101.51,,11,119.88
QF_BV/sage/app1/bench_707,,11,75.01,,11,88.92,,12,109.59,,11,116.78
QF_BV/sage/app1/bench_715,,11,113.63,,11,85.49,,11,104.57,,11,102.85
QF_BV/sage/app1/bench_722,,12,81.21,,11,76.65,,11,111.56,,11,106.29
QF_BV/sage/app1/bench_730,,12,77,,12,95.38,,11,101.62,,11,117.35
QF_BV/sage/app1/bench_738,,12,87.09,,11,73.9,,12,101.6,,11,103.16
QF_BV/sage/app1/bench_745,,12,80.93,,11,79.29,,12,105.47,,11,122.23
QF_BV/sage/app1/bench_753,,14,95.55,,12,81.26,,13,106.43,,13,108.01
QF_BV/sage/app1/bench_761,,13,84.17,,12,81.9,,12,94.73,,11,97.47
QF_BV/sage/app1/bench_836,,7,223.05,,7,207.24,,7,283.41,,7,299.73
QF_BV/sage/app1/bench_847,,7,180,,7,230.49,,7,291.26,,7,287.98
QF_BV/sage/app1/bench_858,,7,177.91,,7,211.84,,7,324.6,,7,300.19
QF_BV/sage/app1/bench_869,,7,200.48,,7,200.72,,7,260.14,,7,288.83
QF_BV/sage/app1/bench_880,,8,227.95,,7,224.82,,7,268.61,,7,303.97
QF_BV/sage/app1/bench_914,,7,165.95,,7,169.9,,7,270.32,,7,262.71
QF_BV/sage/app1/bench_926,,14,79.26,,12,64.86,,10,85.69,,11,96.52
QF_BV/sage/app1/bench_947,,8,196.73,,7,209.83,,7,233.43,,7,237.36
QF_BV/sage/app1/bench_983,,15,79.39,,13,79.78,,13,103.06,,13,115.82
QF_BV/sage/app1/bench_985,,13,69.91,,11,66.57,,12,95.32,,11,99
QF_BV/sage/app1/bench_987,,13,76.08,,10,66.03,,11,88.7,,10,81.52
QF_BV/sage/app1/bench_989,,11,67.13,,8,47.2,,10,76.17,,10,102.07
QF_BV/sage/app1/bench_99,,9,81.11,,9,87.95,,9,110.73,,9,134.33
QF_BV/sage/app1/bench_992,,12,99.48,,9,54.16,,9,65.49,,9,82.04
QF_BV/sage/app1/bench_994,,9,56.1,,8,49.77,,8,69.48,,9,83.27
QF_BV/sage/app1/bench_996,,9,55,,8,47.07,,8,64.64,,8,70.75
QF_BV/sage/app1/bench_998,,9,54.8,,8,51.56,,8,68.9,,8,66.12
QF_BV/sage/app12/bench_103,,1,1.71,,1,2.19,,1,3.04,,1,3.2
QF_BV/sage/app12/bench_1058,,1,1.86,,1,1.97,,1,3,,1,2.95
QF_BV/sage/app12/bench_1181,,1,2.26,,1,2.1,,1,2.58,,1,3.69
QF_BV/sage/app12/bench_1203,,1,2.11,,1,2.06,,1,2.68,,1,3.3
QF_BV/sage/app12/bench_1226,,1,2.03,,1,2.15,,1,2.57,,1,3.55
QF_BV/sage/app12/bench_1281,,1,2.98,,1,2.32,,1,3.36,,1,3.15
QF_BV/sage/app12/bench_1325,,1,3.01,,1,2.19,,1,2.95,,1,3.09
QF_BV/sage/app12/bench_1448,,1,2.05,,1,2.24,,1,2.64,,1,3.19
QF_BV/sage/app12/bench_1459,,1,1.84,,1,2.08,,1,2.96,,1,2.87
QF_BV/sage/app12/bench_1470,,1,1.71,,1,2.23,,1,3.01,,1,3.38
QF_BV/sage/app12/bench_1503,,1,1.79,,1,2.06,,1,2.44,,1,3.27
QF_BV/sage/app12/bench_1536,,1,1.8,,1,1.96,,1,2.47,,1,3.41
QF_BV/sage/app12/bench_1547,,1,1.89,,1,2.29,,1,2.69,,1,3.19
QF_BV/sage/app12/bench_1570,,5,14.82,,4,12.5,,4,15.17,,4,17.78
QF_BV/sage/app12/bench_1592,,6,18.15,,5,13.04,,4,14.62,,4,17.81
QF_BV/sage/app12/bench_1603,,4,13.08,,4,10.89,,4,14.62,,4,17.56
QF_BV/sage/app12/bench_1614,,1,2.96,,1,2.8,,1,4.04,,1,4.23
QF_BV/sage/app12/bench_1625,,4,13.34,,4,7.06,,3,7.58,,3,8.6
QF_BV/sage/app12/bench_1636,,4,12.23,,4,11.32,,3,11.59,,4,15.76
QF_BV/sage/app12/bench_1669,,1,2.5,,1,2.03,,1,3.25,,1,3.78
QF_BV/sage/app12/bench_1670,,5,21.89,,4,12.97,,4,15.37,,4,15.94
QF_BV/sage/app12/bench_1681,,4,12.51,,4,11.19,,4,14.86,,4,15.59
QF_BV/sage/app12/bench_1692,,4,13.13,,4,11.85,,4,14.82,,4,16.25
QF_BV/sage/app12/bench_1780,,1,2.52,,1,2.08,,1,2.64,,1,2.98
QF_BV/sage/app12/bench_1803,,7,20.98,,4,12.49,,4,14.45,,4,17.05
QF_BV/sage/app12/bench_1914,,4,10.17,,4,9.94,,4,14.13,,4,17.07
QF_BV/sage/app12/bench_2047,,4,12.17,,4,10.29,,4,14.16,,4,16.68
QF_BV/sage/app12/bench_2113,,1,2.45,,1,2.4,,1,2.56,,1,3.17
QF_BV/sage/app12/bench_237,,1,2.28,,1,2.61,,1,2.7,,1,2.82
QF_BV/sage/app12/bench_259,,1,2.16,,1,2.6,,1,2.39,,1,3.27
QF_BV/sage/app12/bench_2625,,5,12.27,,4,10.88,,4,13.54,,4,15.74
QF_BV/sage/app12/bench_2714,,5,12.77,,4,11.89,,4,15,,4,15.74
QF_BV/sage/app12/bench_2780,,1,2.24,,1,2.09,,1,2.83,,1,3.04
QF_BV/sage/app12/bench_281,,1,2.06,,1,2.19,,1,2.78,,1,3.58
