Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,3,2.31,,--,--,,4,1.08,,4,1.77
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,3,2.49,,--,--,,3,0.79,,3,1.42
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,4,2.97,,--,--,,3,0.76,,3,1.68
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,3,3.34,,--,--,,3,1.03,,3,1.48
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,1,0.8,,1,1.22,,1,0.38,,1,0.89
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,1,0.87,,1,0.95,,1,0.46,,1,0.87
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,1,0.86,,1,1.38,,1,0.45,,1,0.87
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,1,1.24,,1,1.04,,1,0.54,,1,1.01
QF_BV/tacas07/s-40-50-bv,,4,108.48,,5,61.39,,4,111.56,,3,85.69
,,,,,,,,,,,,
QF_ABV/bench_ab/a271test0009,,1,0.07,,1,0.08,,1,0.06,,1,0.06
QF_ABV/bench_ab/a283test0002,,2,0.05,,3,0.09,,2,0.04,,2,0.05
QF_ABV/bench_ab/a288test0004,,2,0.11,,2,0.2,,2,0.09,,2,0.19
QF_ABV/bench_ab/a296test0002,,1,2.05,,1,76.17,,1,1.79,,1,2.16
QF_ABV/bench_ab/a84test0002,,1,0.03,,1,0.05,,1,0.03,,1,0.04
QF_ABV/bench_ab/b264test0001,,1,0.07,,1,0.06,,1,0.06,,1,0.08
QF_ABV/bmc-arrays/ex20,,3,55.65,,--,--,,2,20.14,,3,34.49
QF_ABV/bmc-arrays/ex6,,3,0.44,,8,0.82,,3,0.39,,2,0.33
QF_ABV/bmc-arrays/inf4,,1,0.59,,1,0.26,,1,0.58,,1,0.58
QF_ABV/bmc-arrays/simple_control_on_input,,3,7.09,,--,--,,3,4.37,,3,7.66
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,4,75.55,,--,--,,4,279.6,,4,87.99
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,5,0.2,,7,3.46,,7,0.14,,--,--
