Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_313,,9,109.8,,14,123.82,,15,92.14,,9,55.77
QF_BV/sage/app1/bench_32,,9,141.51,,10,114.87,,11,83.52,,10,79.57
QF_BV/sage/app1/bench_329,,11,131.78,,18,154.02,,24,113.5,,11,62.51
QF_BV/sage/app1/bench_333,,13,145.44,,17,134.7,,21,125.39,,13,67.61
QF_BV/sage/app1/bench_334,,11,132.68,,16,129.16,,24,105.12,,13,52.57
QF_BV/sage/app1/bench_335,,12,132.78,,21,144.94,,28,141.38,,13,54.5
QF_BV/sage/app1/bench_338,,9,117.72,,18,149.3,,14,77.19,,11,58.31
QF_BV/sage/app1/bench_342,,12,135.45,,21,150.91,,34,156.36,,13,47.8
QF_BV/sage/app1/bench_343,,12,144.78,,16,134.71,,24,96.8,,14,44.39
QF_BV/sage/app1/bench_344,,12,142.58,,20,144.72,,40,260.52,,14,48.05
QF_BV/sage/app1/bench_345,,9,116.03,,12,88.08,,12,74.82,,10,41.73
QF_BV/sage/app1/bench_349,,9,113.64,,12,113.36,,14,63.83,,10,44.06
QF_BV/sage/app1/bench_352,,11,140.44,,17,117.46,,23,119.5,,13,55.85
QF_BV/sage/app1/bench_356,,11,125.29,,22,187.18,,30,194.81,,12,58.82
QF_BV/sage/app1/bench_37,,7,273.39,,15,286.49,,7,145.23,,7,110.85
QF_BV/sage/app1/bench_372,,13,148.57,,20,164.43,,28,157.84,,12,54.59
QF_BV/sage/app1/bench_4,,7,268.55,,17,376.27,,8,199.06,,7,122.15
QF_BV/sage/app1/bench_407,,12,127.91,,20,133.17,,20,108.61,,12,52.69
QF_BV/sage/app1/bench_411,,11,124.4,,16,100.66,,27,145.27,,14,53.05
QF_BV/sage/app1/bench_412,,12,136.94,,16,120.46,,27,106.82,,12,57.86
QF_BV/sage/app1/bench_413,,12,137.73,,18,136.57,,24,116.04,,13,46.54
QF_BV/sage/app1/bench_415,,13,134.8,,18,126.81,,32,162.36,,13,56.77
QF_BV/sage/app1/bench_419,,11,118.8,,18,129.29,,37,158.83,,13,63.82
QF_BV/sage/app1/bench_420,,11,120.98,,16,116.22,,25,133.43,,11,47.96
QF_BV/sage/app1/bench_421,,12,135.45,,15,94.95,,35,227.9,,11,46.99
QF_BV/sage/app1/bench_422,,10,111.95,,15,130.95,,30,174.67,,12,53.55
QF_BV/sage/app1/bench_426,,9,106.74,,11,89.53,,15,82.45,,10,40.83
QF_BV/sage/app1/bench_429,,11,127.25,,14,117.97,,20,110.98,,13,45.54
QF_BV/sage/app1/bench_443,,11,137.76,,14,103.27,,27,176.81,,11,61.21
QF_BV/sage/app1/bench_47,,8,117.08,,12,119.49,,9,56.17,,9,44.56
QF_BV/sage/app1/bench_52,,9,133.96,,12,109.26,,10,51.71,,10,44.04
QF_BV/sage/app1/bench_53,,9,115.39,,14,104.42,,11,72.86,,11,48.79
QF_BV/sage/app1/bench_54,,9,126.36,,13,104.79,,10,69.22,,9,49.05
QF_BV/sage/app1/bench_55,,10,143.65,,10,85.33,,12,75.09,,9,40.65
QF_BV/sage/app1/bench_552,,13,140.41,,23,156.29,,24,116.64,,18,62.45
QF_BV/sage/app1/bench_556,,12,128.7,,15,102.05,,31,162.42,,13,60.26
QF_BV/sage/app1/bench_562,,12,128.99,,11,69.92,,17,79.32,,12,40.9
QF_BV/sage/app1/bench_564,,11,108.69,,14,84.56,,16,66.97,,12,36.7
QF_BV/sage/app1/bench_567,,12,124.86,,14,103.97,,15,68.59,,12,44.89
QF_BV/sage/app1/bench_571,,10,106.33,,13,94.43,,22,117.87,,11,46.48
QF_BV/sage/app1/bench_60,,9,132.6,,12,105.9,,12,80.14,,9,50.62
QF_BV/sage/app1/bench_602,,10,115.95,,12,100.58,,17,99.97,,11,44.65
QF_BV/sage/app1/bench_61,,8,102.26,,12,122.47,,11,55.98,,9,50.33
QF_BV/sage/app1/bench_611,,10,127.4,,13,80.29,,15,81.37,,12,52.46
QF_BV/sage/app1/bench_62,,9,117.02,,13,110.21,,10,71.55,,10,51.92
QF_BV/sage/app1/bench_620,,10,119.42,,14,95.96,,14,94.77,,12,53.04
QF_BV/sage/app1/bench_629,,11,123.24,,13,95.09,,15,66.78,,11,37.55
QF_BV/sage/app1/bench_63,,10,132.41,,12,107.45,,13,105.27,,10,41.01
QF_BV/sage/app1/bench_638,,11,111.95,,13,90.42,,16,74.38,,11,50.54
QF_BV/sage/app1/bench_646,,10,104.58,,12,84.05,,15,90.6,,12,51.91
QF_BV/sage/app1/bench_655,,10,106.88,,13,98.58,,15,85.86,,12,45.17
QF_BV/sage/app1/bench_66,,9,114.5,,14,121.91,,12,78.26,,10,54.85
QF_BV/sage/app1/bench_664,,11,111.35,,12,83.58,,16,60.58,,11,36.55
QF_BV/sage/app1/bench_674,,10,108.02,,13,85.05,,13,59.85,,12,45.08
QF_BV/sage/app1/bench_681,,7,298.06,,13,280.95,,8,199.45,,7,118.39
QF_BV/sage/app1/bench_683,,11,110.39,,13,74.98,,13,63.55,,12,43.26
QF_BV/sage/app1/bench_69,,10,117.45,,14,103.59,,11,58.27,,9,48.19
QF_BV/sage/app1/bench_691,,12,115.95,,12,69.63,,15,67.28,,12,37.45
QF_BV/sage/app1/bench_692,,7,283.23,,17,403.82,,7,177.63,,7,125.99
QF_BV/sage/app1/bench_699,,11,101.51,,12,71.08,,14,89.11,,12,37.18
QF_BV/sage/app1/bench_707,,12,109.59,,12,87.18,,18,87.97,,11,35.77
QF_BV/sage/app1/bench_715,,11,104.57,,13,92.59,,16,67.48,,12,34.73
QF_BV/sage/app1/bench_722,,11,111.56,,12,84.32,,16,77.13,,12,43.84
QF_BV/sage/app1/bench_730,,11,101.62,,11,62.76,,21,105.29,,14,41.3
QF_BV/sage/app1/bench_738,,12,101.6,,12,80.22,,20,70.57,,12,41.17
QF_BV/sage/app1/bench_745,,12,105.47,,13,89.33,,15,49.78,,12,39.39
QF_BV/sage/app1/bench_753,,13,106.43,,29,132.91,,18,61.77,,13,35.0
QF_BV/sage/app1/bench_761,,12,94.73,,21,109.24,,17,68.46,,12,31.49
QF_BV/sage/app1/bench_836,,7,283.41,,16,460.25,,8,326.17,,7,141.98
QF_BV/sage/app1/bench_847,,7,291.26,,14,291.25,,8,210.17,,7,127.96
QF_BV/sage/app1/bench_858,,7,324.6,,13,352.34,,7,204.19,,7,103.61
QF_BV/sage/app1/bench_869,,7,260.14,,14,336.41,,8,171.06,,7,132.57
QF_BV/sage/app1/bench_880,,7,268.61,,14,271.68,,8,256.34,,7,155.65
QF_BV/sage/app1/bench_914,,7,270.32,,15,271.1,,9,184.95,,7,104.62
QF_BV/sage/app1/bench_926,,10,85.69,,18,90.41,,23,64.14,,11,32.39
QF_BV/sage/app1/bench_947,,7,233.43,,16,351.53,,8,221.32,,8,146.54
QF_BV/sage/app1/bench_983,,13,103.06,,17,78.98,,29,67.19,,14,40.36
QF_BV/sage/app1/bench_985,,12,95.32,,18,79.83,,15,47.77,,13,37.17
QF_BV/sage/app1/bench_987,,11,88.7,,16,83.88,,16,38.09,,11,30.41
QF_BV/sage/app1/bench_989,,10,76.17,,15,69.02,,12,51.44,,11,33.36
QF_BV/sage/app1/bench_99,,9,110.73,,11,103.94,,14,110.95,,10,36.31
QF_BV/sage/app1/bench_992,,9,65.49,,14,77.33,,9,40.57,,10,28.67
QF_BV/sage/app1/bench_994,,8,69.48,,13,77.35,,10,42.74,,9,23.43
QF_BV/sage/app1/bench_996,,8,64.64,,12,67.43,,9,24.9,,8,24.22
QF_BV/sage/app1/bench_998,,8,68.9,,12,57.69,,8,18.52,,8,18.68
QF_BV/sage/app12/bench_103,,1,3.04,,1,2.01,,1,1.8,,1,3.37
QF_BV/sage/app12/bench_1058,,1,3.0,,1,2.01,,1,1.86,,1,2.48
QF_BV/sage/app12/bench_1181,,1,2.58,,1,1.73,,1,1.77,,1,2.78
QF_BV/sage/app12/bench_1203,,1,2.68,,1,1.72,,1,2.24,,1,4.54
QF_BV/sage/app12/bench_1226,,1,2.57,,1,1.97,,1,1.93,,1,3.92
QF_BV/sage/app12/bench_1281,,1,3.36,,1,1.58,,1,1.82,,1,3.84
QF_BV/sage/app12/bench_1325,,1,2.95,,1,1.94,,1,1.96,,1,2.97
QF_BV/sage/app12/bench_1448,,1,2.64,,1,1.95,,1,2.3,,1,2.94
QF_BV/sage/app12/bench_1459,,1,2.96,,1,1.64,,1,2.08,,1,2.25
QF_BV/sage/app12/bench_1470,,1,3.01,,1,1.93,,1,2.11,,1,2.89
QF_BV/sage/app12/bench_1503,,1,2.44,,1,1.85,,1,2.9,,1,3.69
QF_BV/sage/app12/bench_1536,,1,2.47,,1,2.49,,1,1.85,,1,2.5
QF_BV/sage/app12/bench_1547,,1,2.69,,1,1.59,,1,2.43,,1,2.15
QF_BV/sage/app12/bench_1570,,4,15.17,,4,11.49,,5,5.14,,4,6.63
QF_BV/sage/app12/bench_1592,,4,14.62,,6,17.12,,5,5.17,,4,6.29
QF_BV/sage/app12/bench_1603,,4,14.62,,5,12.49,,5,6.07,,4,7.56
QF_BV/sage/app12/bench_1614,,1,4.04,,1,3.26,,1,2.92,,1,4.15
QF_BV/sage/app12/bench_1625,,3,7.58,,4,6.01,,4,3.47,,4,6.2
QF_BV/sage/app12/bench_1636,,3,11.59,,5,13.99,,4,5.53,,3,6.1
QF_BV/sage/app12/bench_1669,,1,3.25,,1,1.84,,1,1.81,,1,2.56
QF_BV/sage/app12/bench_1670,,4,15.37,,5,11.75,,4,5.32,,4,7.13
QF_BV/sage/app12/bench_1681,,4,14.86,,4,10.35,,4,4.37,,4,6.79
QF_BV/sage/app12/bench_1692,,4,14.82,,5,15.26,,4,6.73,,4,8.04
QF_BV/sage/app12/bench_1780,,1,2.64,,1,2.19,,1,2.27,,1,2.77
QF_BV/sage/app12/bench_1803,,4,14.45,,11,28.74,,4,4.71,,4,7.07
QF_BV/sage/app12/bench_1914,,4,14.13,,4,12.79,,4,5.76,,4,9.09
QF_BV/sage/app12/bench_2047,,4,14.16,,5,12.33,,4,4.08,,4,7.32
QF_BV/sage/app12/bench_2113,,1,2.56,,1,2.46,,1,2.5,,1,2.8
QF_BV/sage/app12/bench_237,,1,2.7,,1,1.89,,1,2.07,,1,3.41
QF_BV/sage/app12/bench_259,,1,2.39,,1,2.15,,1,2.07,,1,2.33
QF_BV/sage/app12/bench_2625,,4,13.54,,5,14.1,,4,5.0,,4,6.46
QF_BV/sage/app12/bench_2714,,4,15.0,,5,13.23,,5,4.65,,4,6.91
QF_BV/sage/app12/bench_2780,,1,2.83,,1,1.91,,1,1.82,,1,2.24
QF_BV/sage/app12/bench_281,,1,2.78,,1,2.34,,1,1.64,,1,2.72
QF_BV/sage/app12/bench_2847,,4,14.68,,4,8.58,,5,8.12,,4,9.15
QF_BV/sage/app12/bench_2869,,4,13.82,,4,8.63,,4,5.31,,4,6.62
QF_BV/sage/app12/bench_2892,,4,14.22,,5,12.99,,4,5.71,,4,7.21
QF_BV/sage/app12/bench_2914,,4,14.03,,5,12.41,,4,5.19,,4,7.39
QF_BV/sage/app12/bench_2969,,4,14.56,,4,9.19,,4,4.06,,4,7.15
QF_BV/sage/app12/bench_3,,1,2.65,,1,2.34,,1,2.02,,1,2.38
QF_BV/sage/app12/bench_3014,,4,12.98,,5,14.09,,4,4.47,,4,6.95
QF_BV/sage/app12/bench_3113,,1,2.42,,1,2.35,,1,2.08,,1,4.1
QF_BV/sage/app12/bench_3202,,4,14.26,,5,14.1,,5,5.13,,4,7.62
QF_BV/sage/app12/bench_3236,,4,13.83,,5,13.91,,5,7.9,,4,6.59
QF_BV/sage/app12/bench_3247,,4,14.01,,5,14.42,,5,5.74,,4,7.36
QF_BV/sage/app12/bench_3258,,4,13.34,,5,15.39,,4,4.31,,4,8.22
QF_BV/sage/app12/bench_3291,,4,13.69,,4,8.92,,5,5.27,,4,6.79
QF_BV/sage/app12/bench_3324,,4,13.57,,4,9.63,,4,6.71,,4,10.24
QF_BV/sage/app12/bench_3337,,4,13.88,,4,10.22,,4,7.71,,4,9.69
QF_BV/sage/app12/bench_3359,,5,20.75,,6,16.25,,5,7.8,,5,8.68
QF_BV/sage/app12/bench_336,,1,3.05,,1,1.76,,1,2.3,,1,2.48
QF_BV/sage/app12/bench_3381,,5,23.93,,6,19.57,,6,8.95,,5,11.42
QF_BV/sage/app12/bench_3392,,5,20.53,,5,18.23,,5,6.22,,5,9.52
