Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_2780,,1,2.83,,1,1.91,,1,1.82,,1,2.24
QF_BV/sage/app12/bench_281,,1,2.78,,1,2.34,,1,1.64,,1,2.72
QF_BV/sage/app12/bench_2847,,7,22.66,,8,15.4,,10,13.29,,7,13.16
QF_BV/sage/app12/bench_2869,,7,22.06,,8,15.13,,8,7.89,,7,9.94
QF_BV/sage/app12/bench_2892,,6,19.79,,8,19.55,,7,7.5,,7,10.63
QF_BV/sage/app12/bench_2914,,6,18.87,,8,18.72,,8,7.39,,7,11.71
QF_BV/sage/app12/bench_2969,,6,19.79,,8,17.11,,8,6.24,,7,10.88
QF_BV/sage/app12/bench_3,,1,2.65,,1,2.34,,1,2.02,,1,2.38
QF_BV/sage/app12/bench_3014,,6,18.26,,8,21.21,,7,6.16,,7,10.48
QF_BV/sage/app12/bench_3113,,1,2.42,,1,2.35,,1,2.08,,1,4.1
QF_BV/sage/app12/bench_3202,,7,22.49,,8,20.94,,8,6.94,,7,11.99
QF_BV/sage/app12/bench_3236,,6,19.75,,8,22.17,,8,12.0,,7,9.92
QF_BV/sage/app12/bench_3247,,7,22.96,,8,22.16,,8,7.75,,7,10.88
QF_BV/sage/app12/bench_3258,,7,20.99,,8,22.9,,7,5.96,,7,13.47
QF_BV/sage/app12/bench_3291,,6,19.92,,8,15.35,,8,7.16,,7,10.46
QF_BV/sage/app12/bench_3324,,7,21.52,,8,17.31,,8,12.08,,7,15.71
QF_BV/sage/app12/bench_3337,,6,19.73,,8,17.79,,7,11.1,,7,13.82
QF_BV/sage/app12/bench_3359,,8,30.49,,10,26.03,,10,12.41,,8,12.46
QF_BV/sage/app12/bench_336,,1,3.05,,1,1.76,,1,2.3,,1,2.48
QF_BV/sage/app12/bench_3381,,8,35.55,,10,30.73,,17,19.63,,9,18.57
QF_BV/sage/app12/bench_3392,,7,27.75,,8,27.3,,11,12.08,,8,13.59
QF_BV/sage/app12/bench_3403,,7,30.36,,9,23.28,,9,9.74,,7,12.73
QF_BV/sage/app12/bench_3414,,7,25.38,,10,26.6,,10,11.87,,7,14.62
QF_BV/sage/app12/bench_3425,,7,28.71,,10,25.58,,18,22.04,,9,13.16
QF_BV/sage/app12/bench_3447,,1,2.71,,1,2.45,,1,2.04,,1,2.34
QF_BV/sage/app12/bench_3459,,8,32.75,,9,26.45,,21,24.05,,9,17.38
QF_BV/sage/app12/bench_3470,,8,32.64,,11,36.62,,22,22.11,,8,14.02
QF_BV/sage/app12/bench_3481,,8,32.66,,11,27.95,,11,12.31,,9,14.06
QF_BV/sage/app12/bench_3558,,1,3.16,,1,1.75,,1,1.74,,1,2.64
QF_BV/sage/app12/bench_359,,1,3.13,,1,1.87,,1,1.9,,1,3.72
QF_BV/sage/app12/bench_3592,,8,28.94,,21,52.72,,23,21.51,,9,13.51
QF_BV/sage/app12/bench_3703,,8,28.82,,10,27.05,,21,19.72,,8,20.09
