Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_556,,25,237.76,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_562,,24,231.16,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_564,,22,189.6,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_567,,22,200.73,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_571,,24,212.62,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_60,,18,227.66,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_602,,20,206.01,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_61,,18,197.81,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_611,,20,219.44,,376,3321.08,,--,--,,--,--
QF_BV/sage/app1/bench_62,,18,214.72,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_620,,20,209.88,,383,3251.98,,--,--,,--,--
QF_BV/sage/app1/bench_629,,22,217.83,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_63,,18,219.38,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_638,,22,194.92,,360,3221.6,,--,--,,--,--
QF_BV/sage/app1/bench_646,,22,191.86,,395,3022.15,,--,--,,--,--
QF_BV/sage/app1/bench_655,,20,185.69,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_66,,18,205.08,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_664,,22,201.14,,430,3253.23,,--,--,,--,--
QF_BV/sage/app1/bench_674,,21,197.43,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_681,,15,605.75,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_683,,21,191.32,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_69,,21,220.58,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_691,,24,210.21,,433,3273.1,,--,--,,--,--
QF_BV/sage/app1/bench_692,,15,554.89,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_699,,22,175.09,,568,3595.62,,451,3257.86,,--,--
QF_BV/sage/app1/bench_707,,23,188.28,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_715,,21,182.49,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_722,,23,196.83,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_730,,22,184.52,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_738,,23,174.53,,504,2982.9,,--,--,,--,--
QF_BV/sage/app1/bench_745,,23,183.89,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_753,,26,190.18,,--,--,,814,3491.01,,--,--
QF_BV/sage/app1/bench_761,,27,199.71,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_836,,16,613.87,,--,--,,248,2340.38,,--,--
QF_BV/sage/app1/bench_847,,16,629.49,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_858,,16,638.56,,273,2705.51,,302,2659.62,,--,--
QF_BV/sage/app1/bench_869,,14,478.61,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_880,,15,529.44,,162,1933.92,,329,2901.46,,--,--
QF_BV/sage/app1/bench_914,,15,541.89,,147,2514.98,,283,2633.68,,--,--
QF_BV/sage/app1/bench_926,,24,187.51,,979,4214.8,,696,3101.55,,47,6310.12
QF_BV/sage/app1/bench_947,,15,476.96,,206,2463.9,,429,3167.55,,--,--
QF_BV/sage/app1/bench_983,,27,194.26,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_985,,23,162.72,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_987,,22,158.43,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_989,,18,126.68,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_99,,16,177.15,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_992,,17,110.06,,--,--,,--,--,,25,3551.82
QF_BV/sage/app1/bench_994,,15,113.97,,--,--,,--,--,,20,2755.46
QF_BV/sage/app1/bench_996,,14,100.42,,--,--,,--,--,,24,3419.52
QF_BV/sage/app1/bench_998,,12,91.03,,--,--,,--,--,,14,2154.92
QF_BV/sage/app12/bench_103,,1,3.04,,1,0.48,,1,0.42,,1,0.18
QF_BV/sage/app12/bench_1058,,1,3.0,,1,0.42,,1,0.43,,1,0.17
QF_BV/sage/app12/bench_1181,,1,2.58,,1,0.62,,1,0.35,,1,0.19
QF_BV/sage/app12/bench_1203,,1,2.68,,1,0.4,,1,0.45,,1,0.17
QF_BV/sage/app12/bench_1226,,1,2.57,,1,0.47,,1,0.46,,1,0.17
QF_BV/sage/app12/bench_1281,,1,3.36,,1,0.45,,1,0.32,,1,0.2
QF_BV/sage/app12/bench_1325,,1,2.95,,1,0.45,,1,0.35,,1,0.19
QF_BV/sage/app12/bench_1448,,1,2.64,,1,0.4,,1,0.42,,1,0.17
QF_BV/sage/app12/bench_1459,,1,2.96,,1,0.51,,1,0.35,,1,0.16
QF_BV/sage/app12/bench_1470,,1,3.01,,1,0.39,,1,0.35,,1,0.17
QF_BV/sage/app12/bench_1503,,1,2.44,,1,0.37,,1,0.4,,1,0.17
QF_BV/sage/app12/bench_1536,,1,2.47,,1,0.38,,1,0.32,,1,0.18
QF_BV/sage/app12/bench_1547,,1,2.69,,1,0.37,,1,0.32,,1,0.17
QF_BV/sage/app12/bench_1570,,7,24.54,,49,144.37,,59,217.76,,9,1.73
QF_BV/sage/app12/bench_1592,,8,26.59,,70,201.43,,82,291.26,,20,4.08
QF_BV/sage/app12/bench_1603,,7,23.38,,66,153.03,,71,148.13,,9,1.76
QF_BV/sage/app12/bench_1614,,1,4.04,,1,0.56,,1,0.5,,1,0.23
QF_BV/sage/app12/bench_1625,,5,11.5,,74,137.0,,81,115.14,,8,1.15
QF_BV/sage/app12/bench_1636,,5,17.32,,85,175.04,,108,226.47,,8,1.39
QF_BV/sage/app12/bench_1669,,1,3.25,,1,0.46,,1,0.42,,1,0.51
QF_BV/sage/app12/bench_1670,,6,21.52,,19,95.31,,19,160.94,,8,1.62
QF_BV/sage/app12/bench_1681,,6,20.78,,77,179.25,,95,155.03,,8,1.4
QF_BV/sage/app12/bench_1692,,7,23.34,,53,150.83,,62,193.12,,9,1.77
QF_BV/sage/app12/bench_1780,,1,2.64,,1,0.53,,1,0.4,,1,0.19
QF_BV/sage/app12/bench_1803,,7,23.7,,99,213.72,,150,176.88,,10,2.08
QF_BV/sage/app12/bench_1914,,7,23.4,,44,218.91,,53,412.08,,8,1.47
QF_BV/sage/app12/bench_2047,,7,22.49,,52,267.25,,74,216.16,,9,1.76
