Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_313,,2,35.09,,19,130.01,,114,781.15,,--,--
QF_BV/sage/app1/bench_32,,2,43.62,,12,73.55,,8,29.82,,--,--
QF_BV/sage/app1/bench_329,,2,39.31,,33,265.66,,96,698.92,,3,3596.81
QF_BV/sage/app1/bench_333,,2,38.82,,41,337.55,,113,761.27,,3,2852.19
QF_BV/sage/app1/bench_334,,2,37.21,,93,812.04,,103,758.18,,3,3546.53
QF_BV/sage/app1/bench_335,,2,34.13,,25,145.05,,103,675.7,,3,3510.65
QF_BV/sage/app1/bench_338,,2,38.67,,44,439.99,,105,783.02,,--,--
QF_BV/sage/app1/bench_342,,2,36.35,,31,169.66,,108,699.49,,--,--
QF_BV/sage/app1/bench_343,,2,37.27,,50,446.72,,128,894.74,,--,--
QF_BV/sage/app1/bench_344,,3,47.89,,48,270.28,,114,724.62,,3,3284.42
QF_BV/sage/app1/bench_345,,2,38.41,,41,316.25,,135,956.81,,3,3098.59
QF_BV/sage/app1/bench_349,,2,37.63,,12,55.9,,115,687.03,,--,--
QF_BV/sage/app1/bench_352,,2,38.14,,98,789.65,,104,647.65,,3,3513.26
QF_BV/sage/app1/bench_356,,2,35.3,,58,429.92,,127,713.54,,3,2132.91
QF_BV/sage/app1/bench_37,,2,104.3,,--,--,,25,144.5,,--,--
QF_BV/sage/app1/bench_372,,3,48.63,,43,345.14,,105,716.28,,--,--
QF_BV/sage/app1/bench_4,,2,97.73,,22,187.17,,21,125.29,,--,--
QF_BV/sage/app1/bench_407,,3,46.48,,35,173.11,,107,646.42,,3,2245.63
QF_BV/sage/app1/bench_411,,2,33.61,,44,319.52,,120,757.86,,3,1081.55
QF_BV/sage/app1/bench_412,,3,48.75,,32,153.89,,105,686.7,,3,1339.1
QF_BV/sage/app1/bench_413,,2,36.0,,51,415.98,,104,612.27,,3,2399.95
QF_BV/sage/app1/bench_415,,2,32.93,,40,310.2,,103,679.45,,3,3231.17
QF_BV/sage/app1/bench_419,,3,45.29,,21,108.99,,106,602.24,,3,1010.25
QF_BV/sage/app1/bench_420,,3,47.52,,42,321.26,,111,629.74,,3,2137.56
QF_BV/sage/app1/bench_421,,2,36.29,,37,232.75,,104,674.57,,3,1917.85
QF_BV/sage/app1/bench_422,,2,33.75,,35,172.42,,107,713.08,,3,563.43
QF_BV/sage/app1/bench_426,,2,36.26,,99,757.65,,127,735.14,,3,2194.08
QF_BV/sage/app1/bench_429,,3,48.12,,51,352.12,,109,745.36,,3,2654.32
QF_BV/sage/app1/bench_443,,3,52.8,,135,967.64,,100,627.05,,3,1233.56
QF_BV/sage/app1/bench_47,,2,41.41,,61,502.64,,119,680.08,,--,--
QF_BV/sage/app1/bench_52,,2,43.48,,64,473.77,,122,639.66,,2,2863.88
QF_BV/sage/app1/bench_53,,2,36.75,,48,298.39,,119,668.11,,2,3313.07
QF_BV/sage/app1/bench_54,,2,37.82,,33,299.82,,259,1537.95,,--,--
QF_BV/sage/app1/bench_55,,2,43.17,,9,49.48,,103,768.74,,--,--
QF_BV/sage/app1/bench_552,,3,48.35,,14,66.41,,124,957.46,,3,2159.46
QF_BV/sage/app1/bench_556,,3,48.94,,89,489.53,,105,841.47,,3,1779.31
QF_BV/sage/app1/bench_562,,3,44.87,,63,480.0,,148,1114.56,,3,465.0
QF_BV/sage/app1/bench_564,,3,42.12,,35,262.54,,104,594.94,,4,613.6
QF_BV/sage/app1/bench_567,,3,44.63,,34,323.6,,218,1064.48,,4,700.61
QF_BV/sage/app1/bench_571,,2,33.21,,65,552.69,,111,611.15,,3,312.74
QF_BV/sage/app1/bench_60,,2,41.57,,67,502.67,,125,775.42,,--,--
QF_BV/sage/app1/bench_602,,3,47.02,,22,169.45,,27,169.59,,3,970.39
QF_BV/sage/app1/bench_61,,2,37.0,,25,142.97,,117,671.0,,--,--
QF_BV/sage/app1/bench_611,,3,51.11,,9,76.19,,109,864.17,,3,880.02
QF_BV/sage/app1/bench_62,,2,36.71,,67,544.87,,106,682.66,,--,--
QF_BV/sage/app1/bench_620,,3,48.27,,20,128.49,,33,173.8,,3,540.07
QF_BV/sage/app1/bench_629,,3,49.47,,30,169.4,,162,1314.18,,5,1120.57
QF_BV/sage/app1/bench_63,,2,40.51,,30,164.35,,106,717.95,,--,--
QF_BV/sage/app1/bench_638,,3,44.09,,23,145.28,,26,153.96,,4,545.72
QF_BV/sage/app1/bench_646,,3,45.92,,40,268.93,,36,162.2,,5,1213.35
QF_BV/sage/app1/bench_655,,3,45.95,,12,79.0,,30,166.09,,4,877.25
QF_BV/sage/app1/bench_66,,2,35.16,,39,301.19,,16,77.64,,--,--
QF_BV/sage/app1/bench_664,,3,43.96,,20,118.23,,27,161.71,,4,486.5
QF_BV/sage/app1/bench_674,,3,43.34,,31,139.47,,33,153.49,,4,567.78
QF_BV/sage/app1/bench_681,,2,105.69,,7,45.98,,30,154.32,,--,--
QF_BV/sage/app1/bench_683,,3,42.28,,34,161.44,,165,941.86,,5,663.44
QF_BV/sage/app1/bench_69,,2,35.33,,44,390.74,,115,633.19,,2,3194.09
QF_BV/sage/app1/bench_691,,3,43.62,,33,164.14,,54,316.35,,4,632.23
QF_BV/sage/app1/bench_692,,2,102.01,,2,24.1,,33,176.99,,--,--
QF_BV/sage/app1/bench_699,,3,41.13,,27,140.16,,30,152.74,,4,571.64
QF_BV/sage/app1/bench_707,,3,38.44,,25,143.39,,29,244.18,,4,869.53
QF_BV/sage/app1/bench_715,,3,39.16,,36,220.28,,57,396.74,,3,361.45
QF_BV/sage/app1/bench_722,,3,40.31,,40,229.83,,166,888.77,,3,463.57
QF_BV/sage/app1/bench_730,,3,39.86,,39,155.35,,33,213.41,,3,351.78
QF_BV/sage/app1/bench_738,,3,35.13,,40,238.68,,138,847.84,,3,357.1
QF_BV/sage/app1/bench_745,,3,38.55,,148,946.48,,160,865.78,,3,410.62
QF_BV/sage/app1/bench_753,,3,32.78,,168,820.28,,30,121.11,,3,519.82
QF_BV/sage/app1/bench_761,,3,29.12,,34,131.98,,197,716.5,,3,310.04
QF_BV/sage/app1/bench_836,,2,103.27,,--,--,,23,162.01,,--,--
QF_BV/sage/app1/bench_847,,2,111.82,,--,--,,24,148.84,,--,--
QF_BV/sage/app1/bench_858,,2,113.65,,11,59.78,,28,152.7,,--,--
QF_BV/sage/app1/bench_869,,2,100.69,,3,26.79,,27,171.31,,--,--
