Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app9/bench_1659,,8,4.37,,80,18.15,,83,18.04,,21,1.19
QF_BV/sage/app9/bench_2061,,4,0.12,,64,2.36,,64,1.49,,7,0.05
QF_BV/sage/app9/bench_2127,,1,0.03,,1,0.16,,1,0.06,,1,0.44
QF_BV/sage/app9/bench_2358,,2,0.05,,16,0.12,,16,0.12,,5,0.1
QF_BV/sage/app9/bench_2518,,4,0.73,,23,1.57,,23,2.37,,5,0.49
QF_BV/sage/app9/bench_2940,,6,2.08,,--,--,,--,--,,9,0.65
QF_BV/sage/app9/bench_3134,,5,27.62,,83,487.7,,76,331.73,,7,114.74
QF_BV/sage/app9/bench_3261,,2,0.07,,17,0.21,,17,0.74,,5,0.05
QF_BV/sage/app9/bench_3270,,1,0.03,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app9/bench_3278,,5,27.99,,75,335.93,,119,494.6,,7,133.04
QF_BV/sage/app9/bench_866,,1,0.04,,1,0.15,,1,0.04,,1,0.05
QF_BV/sage/app9/bench_885,,6,6.02,,348,92.85,,353,106.36,,10,1.06
QF_BV/sage/app9/bench_919,,6,0.3,,--,--,,--,--,,12,0.07
QF_BV/sage/app9/bench_979,,4,0.19,,17,0.99,,21,1.01,,5,0.46
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,4,17.56,,156,211.64,,169,244.47,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,5,26.41,,165,300.61,,170,209.51,,71,650.72
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,5,28.12,,104,158.95,,168,256.01,,71,793.39
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,8,134.33,,360,1691.11,,546,3320.08,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,7,142.83,,678,3442.7,,587,3583.99,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,7,117.45,,572,2910.69,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,7,110.4,,556,2984.2,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,8,120.2,,700,3264.28,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,7,126.23,,632,3244.41,,--,--,,--,--
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,6,2.84,,--,--,,138,7.37,,9,0.44
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,7,2.9,,136,17.0,,140,12.1,,16,0.59
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,9,4.73,,219,27.14,,173,13.05,,21,1.05
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,9,5.19,,203,22.57,,208,26.15,,23,1.62
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,1,2.93,,1,0.18,,1,0.58,,--,--
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,841,431.22,,--,--,,--,--,,7,0.62
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,17,9.97,,286,22.89,,287,22.5,,8,0.46
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,21,4.22,,87,2.07,,87,2.64,,8,0.16
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,8,2.35,,103,2.78,,--,--,,10,0.51
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,9,4.72,,165,7.25,,--,--,,8,0.14
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,11,6.41,,--,--,,--,--,,8,0.14
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,10,6.63,,191,5.73,,--,--,,8,0.16
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,10,6.75,,--,--,,215,8.5,,9,0.22
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,8,6.87,,--,--,,--,--,,11,0.57
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,7,4.33,,126,5.12,,128,4.55,,5,0.15
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,7,4.35,,124,6.32,,117,6.45,,7,0.19
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,5,3.51,,105,3.06,,110,4.53,,5,0.16
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,7,6.85,,88,3.0,,90,4.55,,4,0.14
QF_BV/tacas07/s-40-50-bv,,15,300.09,,95,2223.79,,77,2302.95,,--,--
,,,,,,,,,,,,
QF_ABV/bench_ab/a271test0009,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a283test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a288test0004,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a296test0002,,1,2.05,,1,0.33,,1,0.1,,--,--
QF_ABV/bench_ab/a84test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/b264test0001,,2,0.12,,4,0.05,,4,0.09,,--,--
QF_ABV/bmc-arrays/ex20,,5,81.31,,--,--,,--,--,,--,--
QF_ABV/bmc-arrays/ex6,,11,1.45,,93,2.84,,--,--,,--,--
QF_ABV/bmc-arrays/inf4,,2,1.03,,16,55.35,,15,46.73,,--,--
QF_ABV/bmc-arrays/simple_control_on_input,,5,10.9,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,351,22.58,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,34,5.32,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,10,4.24,,119,4.85,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,11,12.63,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,23,11.8,,119,4.66,,119,11.3,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,39,2.97,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,13,0.88,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,681,48.7,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,35,0.97,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,5,17.69,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,19,4.68,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,--,--,,94,4.9,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,22,98.78,,135,58.48,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,115,5.48,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,7,23.2,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,7,17.44,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,47,93.35,,--,--,,--,--,,--,--
QF_ABV/egt/egt-0474,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1526,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1550,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-4211,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-6650,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-7155,,--,--,,--,--,,--,--,,--,--
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.26,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,9,5.79,,93,102.06,,80,244.32,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,10,8.25,,112,125.57,,109,254.13,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,8,4.93,,222,326.1,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,9,8.65,,236,445.71,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,8,7.49,,226,323.28,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,10,8.76,,226,420.22,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,13,10.24,,238,260.45,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,10,8.59,,233,343.19,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,9,9.14,,96,183.75,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,8,7.91,,223,230.78,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,9,8.91,,225,250.97,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,12,11.88,,255,309.6,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,9,7.54,,293,411.83,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,10,11.98,,259,348.79,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,153,376.27,,144,16.39,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,6,3.2,,112,63.34,,94,163.7,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,6,4.11,,93,67.1,,79,128.47,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,6,4.78,,92,96.52,,65,155.48,,--,--
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,5,1.67,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,5,2.31,,--,--,,--,--,,--,--
,,,,,,,,,,,,
