Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,67,15.61,,7,11.06,,6,30.05,,5,45.36
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,67,17.33,,6,8.68,,6,34.24,,5,48.47
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,--,--,,9,90.83,,9,149.09,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,--,--,,9,94.92,,9,181.49,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,--,--,,9,86.13,,8,131.06,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,--,--,,8,84.22,,8,124.2,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,--,--,,9,87.45,,9,132.47,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,--,--,,9,94.02,,8,139.06,,--,--
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,9,1.47,,9,2.02,,8,3.65,,7,4.24
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,13,2.13,,10,2.82,,9,3.63,,8,4.93
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,17,3.76,,16,4.83,,12,6.28,,12,10.26
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,17,5.15,,16,5.42,,13,7.24,,13,15.36
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,4,8.0,,2,4.58,,3,7.03,,3,13.95
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,--,--,,--,--,,841,431.22,,17,14.53
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,--,--,,--,--,,53,25.93,,--,--
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,978,144.67,,--,--,,25,4.9,,--,--
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,--,--,,21,4.24,,9,2.61,,13,8.37
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,--,--,,16,5.24,,11,5.55,,9,6.07
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,--,--,,24,10.26,,12,6.92,,10,6.6
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,326,112.18,,13,5.03,,12,7.54,,10,11.99
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,--,--,,19,9.93,,12,8.09,,10,11.08
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,--,--,,15,9.28,,9,7.57,,9,9.67
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,237,138.83,,11,7.77,,8,4.92,,9,15.17
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,882,354.75,,14,7.36,,9,5.4,,10,17.9
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,11,6.18,,15,9.59,,6,4.23,,6,11.01
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,31,16.9,,12,6.87,,9,8.71,,7,14.77
QF_BV/tacas07/s-40-50-bv,,--,--,,25,246.22,,25,464.5,,--,--
,,,,,,,,,,,,
QF_ABV/bench_ab/a271test0009,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a283test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a288test0004,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a296test0002,,4,3.51,,3,4.03,,3,6.24,,3,7.84
QF_ABV/bench_ab/a84test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/b264test0001,,3,0.05,,2,0.08,,2,0.12,,3,0.31
QF_ABV/bmc-arrays/ex20,,13,59.86,,7,40.36,,6,95.19,,6,87.71
QF_ABV/bmc-arrays/ex6,,16,1.22,,54,24.36,,12,1.64,,10,3.34
QF_ABV/bmc-arrays/inf4,,4,0.42,,3,0.75,,3,1.51,,3,2.62
QF_ABV/bmc-arrays/simple_control_on_input,,--,--,,8,6.89,,6,12.67,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,25,3.61,,16,3.07,,34,5.32,,53,172.1
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,8,0.61,,80,170.69,,16,7.08,,33,38.51
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,--,--,,25,10.99,,15,16.88,,21,56.02
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,12,1.1,,157,3071.47,,--,--,,13,10.36
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,641,48.31,,--,--,,--,--,,374,54.92
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,641,49.54,,557,66.66,,39,2.97,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,641,48.2,,54,2.97,,13,0.88,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,--,--,,19,0.43,,35,0.97,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,--,--,,7,23.0,,6,25.73,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,7,0.77,,6,0.93,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,5,0.36,,5,0.5,,--,--,,25,14.48
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,--,--,,53,113.48,,36,158.4,,32,293.08
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,--,--,,73,1.59,,115,5.48,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,--,--,,14,17.75,,9,31.73,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,--,--,,16,21.14,,8,20.96,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,--,--,,121,204.93,,57,120.23,,43,164.91
QF_ABV/egt/egt-0474,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1526,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1550,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-4211,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-6650,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-7155,,--,--,,--,--,,--,--,,--,--
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,--,--,,2,0.22,,2,0.26,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,14,4.16,,15,6.56,,12,7.25,,12,13.58
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,18,6.03,,14,5.04,,13,10.43,,13,17.67
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,23,8.91,,14,7.75,,12,7.06,,13,16.41
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,19,7.41,,16,6.49,,15,13.79,,12,14.16
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,28,10.96,,15,6.56,,13,11.56,,13,15.34
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,18,8.03,,14,6.65,,14,11.99,,13,20.1
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,--,--,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,19,8.61,,16,7.23,,14,11.24,,13,22.14
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,14,6.91,,15,6.97,,12,11.78,,13,15.03
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,17,7.98,,14,7.21,,13,12.15,,14,17.32
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,23,11.29,,15,6.92,,14,13.37,,14,21.7
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,--,--,,29,18.68,,22,21.11,,19,34.03
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,88,208.83,,14,8.75,,12,9.87,,13,23.59
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,49,47.11,,16,12.76,,16,18.18,,12,17.65
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,40,11.13,,153,205.75,,156,399.76,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,8,2.24,,10,2.99,,8,4.1,,9,7.35
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,9,3.03,,9,3.31,,7,4.61,,8,7.36
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,10,3.64,,7,2.77,,7,5.33,,7,10.89
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,8,1.6,,6,1.57,,6,1.96,,6,4.19
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,19,4.06,,6,1.65,,6,2.7,,6,4.26
,,,,,,,,,,,,
