Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,3,0.76,,3,1.05,,2,1.04,,2,1.76
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,3,1.12,,3,1.29,,3,1.85,,3,2.84
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,3,1.57,,3,1.58,,3,1.98,,3,4.09
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,1,2.66,,1,2.92,,1,2.93,,1,5.72
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,4,2.23,,3,1.82,,3,1.85,,3,3.87
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,4,2.66,,3,3.45,,2,2.43,,3,4.64
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,4,0.73,,3,0.78,,3,1.06,,2,0.88
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,5,1.02,,3,0.8,,3,1.05,,3,2.67
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,5,1.84,,4,1.58,,3,2.01,,3,2.39
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,5,2.79,,4,2.21,,3,2.31,,3,2.52
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,5,2.51,,4,1.99,,3,2.49,,3,4.86
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,4,2.42,,4,2.64,,4,2.97,,3,4.03
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,6,4.54,,4,3.15,,3,3.34,,3,3.79
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,1,0.86,,1,1.11,,1,0.8,,1,2.62
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,1,0.76,,1,0.75,,1,0.87,,1,3.18
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,1,0.82,,1,0.9,,1,0.86,,1,3.26
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,1,0.83,,1,0.88,,1,1.24,,1,3.75
QF_BV/tacas07/s-40-50-bv,,4,56.27,,3,55.16,,4,108.48,,4,153.69
,,,,,,,,,,,,
QF_ABV/bench_ab/a271test0009,,1,0.03,,1,0.05,,1,0.07,,1,0.11
QF_ABV/bench_ab/a283test0002,,2,0.02,,2,0.08,,2,0.05,,2,0.08
QF_ABV/bench_ab/a288test0004,,2,0.03,,2,0.07,,2,0.11,,2,0.21
QF_ABV/bench_ab/a296test0002,,1,0.32,,1,0.96,,1,2.05,,1,2.2
QF_ABV/bench_ab/a84test0002,,1,0.02,,1,0.03,,1,0.03,,1,0.07
QF_ABV/bench_ab/b264test0001,,1,0.04,,1,0.06,,1,0.07,,1,0.13
QF_ABV/bmc-arrays/ex20,,3,20.62,,3,21.9,,3,55.65,,2,33.48
QF_ABV/bmc-arrays/ex6,,5,0.34,,2,0.23,,3,0.44,,3,0.86
QF_ABV/bmc-arrays/inf4,,1,0.2,,1,0.37,,1,0.59,,1,0.92
QF_ABV/bmc-arrays/simple_control_on_input,,4,2.35,,3,3.59,,3,7.09,,3,12.34
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,3,34.25,,4,54.39,,4,75.55,,4,262.32
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,360,6.15,,4,0.13,,5,0.2,,8,0.65
